Product_Id,Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total,Store_Age,Is_New_Store,Price_Per_Weight,Price_Per_Area,Is_Tier1,Is_Large_Store,Premium_in_Tier1,Product_Sugar_Content_Encoded,Product_Type_Encoded,Store_Type_Encoded
FD6114,12.66,Low Sugar,0.027,Frozen Foods,117.08,OUT004,2009,Medium,Tier 2,Supermarket Type2,2842.4,15,0,9.240726124704025,3164.3243243243246,0,0,0,0,5,3
FD7839,16.54,Low Sugar,0.144,Dairy,171.43,OUT003,1999,Medium,Tier 1,Departmental Store,4830.02,25,0,10.358308157099698,1113.1818181818182,1,0,1,0,4,0
FD5075,14.28,Regular,0.031,Canned,162.08,OUT001,1987,High,Tier 2,Supermarket Type1,4130.16,37,0,11.342197340797762,3953.1707317073174,0,1,0,2,3,2
FD8233,12.1,Low Sugar,0.112,Baking Goods,186.31,OUT001,1987,High,Tier 2,Supermarket Type1,4132.18,37,0,15.384805945499588,1527.1311475409836,0,1,0,0,0,2
NC1180,9.57,No Sugar,0.01,Health and Hygiene,123.67,OUT002,1998,Small,Tier 3,Food Mart,2279.36,26,0,12.909185803757829,6183.5,0,0,0,1,8,1
FD5680,12.03,Low Sugar,0.053,Snack Foods,113.64,OUT004,2009,Medium,Tier 2,Supermarket Type2,2629.15,15,0,9.438538205980068,1803.8095238095239,0,0,0,0,13,3
FD5484,16.35,Low Sugar,0.112,Meat,185.71,OUT003,1999,Medium,Tier 1,Departmental Store,5081.14,25,0,11.351466992665035,1522.2131147540986,1,0,1,0,10,0
NC5885,12.94,No Sugar,0.286,Household,194.75,OUT003,1999,Medium,Tier 1,Departmental Store,4494.62,25,0,15.03861003861004,657.9391891891893,1,0,1,1,9,0
FD1961,9.45,Low Sugar,0.047,Snack Foods,95.95,OUT002,1998,Small,Tier 3,Food Mart,1684.82,26,0,10.142706131078226,1683.3333333333333,0,0,0,0,13,1
NC6657,8.94,No Sugar,0.045,Health and Hygiene,143.01,OUT004,2009,Medium,Tier 2,Supermarket Type2,2531.3,15,0,15.978770949720671,2600.181818181818,0,0,0,1,8,3
DR2699,10.64,Low Sugar,0.02,Hard Drinks,165.99,OUT004,2009,Medium,Tier 2,Supermarket Type2,3385.46,15,0,15.585915492957747,5533.000000000001,0,0,0,0,7,3
FD6027,13.92,Low Sugar,0.099,Fruits and Vegetables,116.89,OUT004,2009,Medium,Tier 2,Supermarket Type2,3123.19,15,0,8.391241923905241,1072.3853211009175,0,0,0,0,6,3
FD8553,10.97,Low Sugar,0.156,Fruits and Vegetables,175.71,OUT004,2009,Medium,Tier 2,Supermarket Type2,3660.82,15,0,16.002732240437158,1058.4939759036145,0,0,0,0,6,3
FD5276,12.25,Low Sugar,0.04,Canned,160.42,OUT004,2009,Medium,Tier 2,Supermarket Type2,3635.5,15,0,13.084828711256117,3208.3999999999996,0,0,0,0,3,3
FD1231,11.31,Regular,0.049,Baking Goods,168.4,OUT004,2009,Medium,Tier 2,Supermarket Type2,3587.27,15,0,14.876325088339224,2854.237288135593,0,0,0,2,0,3
FD1387,13.26,Low Sugar,0.024,Breads,156.17,OUT004,2009,Medium,Tier 2,Supermarket Type2,3776.76,15,0,11.768651092690279,4593.235294117646,0,0,0,0,1,3
NC1071,10.74,No Sugar,0.173,Household,138.19,OUT004,2009,Medium,Tier 2,Supermarket Type2,2839.53,15,0,12.854883720930232,755.1366120218579,0,0,0,1,9,3
FD2625,12.45,Low Sugar,0.045,Frozen Foods,143.25,OUT004,2009,Medium,Tier 2,Supermarket Type2,3328.99,15,0,11.496789727126806,2604.5454545454545,0,0,0,0,5,3
FD4982,13.17,Low Sugar,0.075,Fruits and Vegetables,185.03,OUT003,1999,Medium,Tier 1,Departmental Store,4347.91,25,0,14.038694992412747,2176.823529411765,1,0,1,0,6,0
NC7289,12.67,No Sugar,0.038,Health and Hygiene,150.51,OUT004,2009,Medium,Tier 2,Supermarket Type2,3529.29,15,0,11.8698738170347,3135.6249999999995,0,0,0,1,8,3
FD6431,10.57,Regular,0.11,Fruits and Vegetables,143.36,OUT004,2009,Medium,Tier 2,Supermarket Type2,2907.64,15,0,13.550094517958414,1194.6666666666667,0,0,0,2,6,3
NC177,16.75,No Sugar,0.043,Health and Hygiene,236.09,OUT003,1999,Medium,Tier 1,Departmental Store,6643.63,25,0,14.086515513126491,4454.528301886793,1,0,1,1,8,0
FD1067,14.47,Regular,0.01,Fruits and Vegetables,145.65,OUT004,2009,Medium,Tier 2,Supermarket Type2,3835.95,15,0,10.058701657458563,7282.5,0,0,0,2,6,3
FD4186,11.67,Low Sugar,0.118,Canned,179.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,3895.8,15,0,15.371575342465754,1402.65625,0,0,0,0,3,3
FD2557,13.32,Regular,0.007,Snack Foods,204.53,OUT001,1987,High,Tier 2,Supermarket Type1,4780.97,37,0,15.343585896474119,12031.176470588234,0,1,0,2,13,2
FD3537,11.09,Low Sugar,0.021,Fruits and Vegetables,120.78,OUT004,2009,Medium,Tier 2,Supermarket Type2,2562.86,15,0,10.881081081081081,3896.1290322580644,0,0,0,0,6,3
FD6680,10.94,Low Sugar,0.138,Dairy,121.01,OUT004,2009,Medium,Tier 2,Supermarket Type2,2532.68,15,0,11.051141552511417,817.6351351351351,0,0,0,0,4,3
FD1810,13.86,Low Sugar,0.168,Snack Foods,181.28,OUT003,1999,Medium,Tier 1,Departmental Store,4426.73,25,0,13.069935111751983,1018.4269662921347,1,0,1,0,13,0
FD4925,10.55,Low Sugar,0.15,Frozen Foods,132.82,OUT004,2009,Medium,Tier 2,Supermarket Type2,2688.24,15,0,12.577651515151514,830.1249999999999,0,0,0,0,5,3
FD636,11.44,Regular,0.027,Baking Goods,144.18,OUT004,2009,Medium,Tier 2,Supermarket Type2,3120.85,15,0,12.592139737991268,3896.756756756757,0,0,0,2,0,3
FD6554,13.17,Regular,0.047,Dairy,119.32,OUT004,2009,Medium,Tier 2,Supermarket Type2,3004.24,15,0,9.053110773899848,2093.333333333333,0,0,0,2,4,3
FD4235,14.88,Regular,0.099,Canned,146.81,OUT004,2009,Medium,Tier 2,Supermarket Type2,3951.97,15,0,9.859637340496977,1346.880733944954,0,0,0,2,3,3
